No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
221;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044036;2019BB12160500000000000000044036;Berhasil;R
222;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044037;2019BB12160500000000000000044037;Berhasil;R
223;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044038;2019BB12160500000000000000044038;Berhasil;R
224;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044039;2019BB12160500000000000000044039;Berhasil;R
225;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044040;2019BB12160500000000000000044040;Berhasil;R
226;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044041;2019BB12160500000000000000044041;Berhasil;R
227;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044042;2019BB12160500000000000000044042;Berhasil;R
228;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044043;2019BB12160500000000000000044043;Berhasil;R
229;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044044;2019BB12160500000000000000044044;Berhasil;R
230;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044045;2019BB12160500000000000000044045;Berhasil;R
231;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044046;2019BB12160500000000000000044046;Berhasil;R
232;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044047;2019BB12160500000000000000044047;Berhasil;R
233;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044048;2019BB12160500000000000000044048;Berhasil;R
234;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044049;2019BB12160500000000000000044049;Berhasil;R
235;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044050;2019BB12160500000000000000044050;Berhasil;R
236;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044051;2019BB12160500000000000000044051;Berhasil;R
237;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044052;2019BB12160500000000000000044052;Berhasil;R
238;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044053;2019BB12160500000000000000044053;Berhasil;R
239;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044054;2019BB12160500000000000000044054;Berhasil;R
240;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044055;2019BB12160500000000000000044055;Berhasil;R
241;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044056;2019BB12160500000000000000044056;Berhasil;R
